timesteps,episode,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,approx_kl,entropy_loss,explained_variance,time_seconds
1000,10,,,358.71900787353513,-0.007796396408230067,0.0013369042,-2.2762406945228575,0.016099393367767334,594.0322678089142
2000,20,,,325.24134826660156,-0.01595198889262974,0.005468113,-2.2471515417098997,-0.0004750490188598633,1159.2795548439026
3000,30,,,316.29921875,-0.011061196681112051,0.0033624126,-2.1616428017616274,-0.001271963119506836,1760.5292942523956
4000,40,,,294.9667724609375,-0.007422154676169157,0.0018963027,-2.2247015118598936,-0.0002789497375488281,2378.7573618888855
5000,50,,,289.58069610595703,-0.0165752287954092,0.0028205104,-2.2635873675346376,0.005394160747528076,3072.268763065338
6000,60,,,274.3306915283203,-0.008703941386193037,0.0011391244,-2.2685561895370485,-0.0002592802047729492,3691.0875692367554
7000,70,,,250.96535110473633,-0.012271215673536062,0.0028127674,-2.236498546600342,-0.0010477304458618164,4314.4475429058075
8000,80,,,247.56711120605468,-0.009254914801567793,0.0018932321,-2.222510552406311,0.0009439587593078613,4897.5645661354065
9000,90,,,227.66681823730468,-0.010318856034427882,0.0028151223,-2.149462413787842,0.0003368258476257324,5470.549347162247
10000,100,,,220.34776153564454,-0.014661499368958174,0.007180271,-2.0448001861572265,0.00019484758377075195,6101.442311048508
11000,110,,,209.00528717041016,-0.008625721652060747,0.0032216986,-1.687769252061844,6.67572021484375e-05,6570.5746693611145
12000,120,,,198.62542343139648,-0.012390946177765727,0.009034338,-1.7084517121315002,-4.5299530029296875e-05,7060.869513273239
13000,130,,,190.79432754516603,-0.006188490311615169,0.0026434297,-1.8086758077144622,2.3305416107177734e-05,7538.621115684509
14000,140,,,171.6835968017578,-0.011996258166618645,0.00498222,-1.7272430777549743,-0.0007394552230834961,7999.795604944229
15000,150,,,161.81366882324218,-0.015174889424815773,0.011442242,-1.4670259952545166,-2.3365020751953125e-05,8395.138805627823
16000,160,,,152.28454818725587,-0.010766886500641703,0.0036130026,-1.6388421535491944,-0.00015366077423095703,8808.527456521988
17000,170,,,146.2521545410156,-0.018461951287463307,0.009048239,-1.9237910687923432,0.0008456707000732422,9333.718643188477
18000,180,,,130.4416233062744,-0.008135621901601553,0.0030461438,-1.9061828792095183,0.00017374753952026367,9992.632239103317
19000,190,,,123.23534660339355,-0.02538563869893551,0.015980996,-1.9086251556873322,0.00028389692306518555,10658.562467098236
20000,200,,,113.37121696472168,-0.013541808398440481,0.012318965,-1.674526709318161,0.0008660554885864258,11368.415720701218
21000,210,,,107.91743774414063,-0.01848974423483014,0.015157364,-1.5799577713012696,-5.459785461425781e-05,12091.552089214325
22000,220,,,99.27420272827149,-0.018749077944085,0.01080985,-1.358444720506668,8.440017700195312e-05,12994.742895841599
23000,230,,,84.22652053833008,-0.01870765150524676,0.007424422,-1.4329365193843842,0.0001698136329650879,13782.580840587616
24000,240,,,84.94072608947754,-0.019543844228610396,0.01282427,-1.3988821625709533,-9.548664093017578e-05,14451.184199333191
25000,250,,,75.57856216430665,-0.004418633098248392,0.0015728739,-1.0417122304439546,-3.2186508178710938e-06,15386.741852760315
26000,260,,,70.43291854858398,-0.003953105444088579,0.002854195,-0.3182815819978714,7.569789886474609e-06,16681.86702299118
27000,270,,,64.22802982330322,-0.002818682277575135,0.0013805963,-0.3810378074645996,-4.5299530029296875e-06,18027.84418654442
28000,280,,,58.463110542297365,-0.0017493099439889193,0.00056985766,-0.45682514607906344,-1.1920928955078125e-05,19296.23831319809
29000,290,,,52.79613037109375,-0.0017099610064178704,0.0008361307,-0.458874537050724,-4.172325134277344e-06,20572.08371424675
30000,300,,,45.53752975463867,-0.002958210231736302,0.0022489838,-0.5082230389118194,-4.172325134277344e-06,21901.137895584106
31000,310,,,40.08480968475342,-0.0035086247604340314,0.003036003,-0.3661194980144501,-1.9073486328125e-06,23187.385871887207
32000,320,,,35.440517616271975,-0.0034593240125104785,0.0022693193,-0.36006126254796983,-6.198883056640625e-06,24524.544083356857
33000,330,,,32.014083290100096,-0.00020428707357496024,0.00017833803,-0.193419973552227,5.364418029785156e-07,25865.370958328247
34000,340,,,25.661244010925294,-0.0023874506819993257,0.0022024284,-0.24635008051991464,-4.291534423828125e-06,27225.09578061104
35000,350,,,22.25783853530884,-0.004848599294200539,0.005858822,-0.33842059671878816,1.7881393432617188e-07,28551.094151735306
36000,360,,,18.482465267181396,-0.00046943246852606537,8.6652115e-05,-0.14761980697512628,1.9669532775878906e-06,29917.39709544182
37000,370,,,15.393015813827514,-0.0014846649486571551,0.0015288293,-0.13609866723418235,8.940696716308594e-07,31272.26872777939
38000,380,,,12.709975862503052,-7.213559001684188e-07,0.0,-0.06461208052933216,8.344650268554688e-07,32684.7664539814
39000,390,,,9.4932044506073,-0.0021773358806967736,0.0010551116,-0.0823758315294981,4.231929779052734e-06,34101.45083856583
40000,400,,,7.418770051002502,-0.001465087803080678,0.0006519831,-0.0730973333120346,-2.384185791015625e-07,35482.39027762413
41000,410,,,5.226924419403076,-1.6009435057640076e-07,1.1920929e-07,-0.03648794908076525,3.2782554626464844e-06,36848.28500676155
42000,420,,,3.5554322242736816,-3.5064294934272765e-08,0.0,-0.013240823894739151,7.271766662597656e-06,38263.1132941246
43000,430,,,2.313916862010956,-1.041218638420105e-07,0.0,-0.009471306903287768,1.0132789611816406e-05,39648.493158102036
44000,440,,,1.3712555468082428,-8.768867701292038e-07,0.0,-0.016235418803989887,2.4616718292236328e-05,41024.62927007675
45000,450,,,0.5915771678090096,-0.00048042391426861286,0.00085668825,-0.013137162104249001,3.0934810638427734e-05,42444.90328288078
46000,460,,,0.17845871467143298,-4.792283289134503e-06,0.0,-0.014502923330292105,3.820657730102539e-05,43844.31038093567
47000,470,,,0.11380174428923055,-0.007046907627955079,0.044159614,-1.0103845030069352,2.5272369384765625e-05,45141.920443058014
48000,480,,,0.11973470621742308,-0.006089447624981403,0.022107843,-1.0732850909233094,9.5367431640625e-06,46050.03238487244
49000,490,,,0.12604761314578355,-0.007883425476029516,0.017336277,-1.3496680915355683,-5.054473876953125e-05,46985.797541856766
50000,500,,,0.2562544118613005,-0.009042384661734104,0.02823525,-1.3559818506240844,-1.4901161193847656e-05,47835.52030181885
51000,510,,,0.15034347628243266,-0.010996027500368655,0.028164888,-1.19827099442482,-2.4437904357910156e-05,48641.35464549065
52000,520,,,0.14061109255999327,-0.00726989908143878,0.011573937,-1.147915005683899,2.1278858184814453e-05,49382.93666982651
53000,530,,,0.13200678816065192,-0.0033005310804583134,0.009844958,-1.3504724621772766,6.496906280517578e-05,50173.09137868881
54000,540,,,0.12238403167575598,-0.008546804822981358,0.0134414565,-1.3815714240074157,7.361173629760742e-05,51006.39158797264
55000,550,,,1.3283341929316521,-0.016324936505407096,0.01505478,-1.3550089001655579,0.0002734661102294922,51824.00385308266
56000,560,,,1.8313483417034149,-0.011417376482859254,0.009893139,-1.5202895998954773,-0.021305084228515625,52671.354642152786
57000,570,,,2.1130221784114838,-0.019810522673651576,0.009125051,-1.463944137096405,0.18357735872268677,53495.758620500565
58000,580,,,2.5037304162979126,-0.01450447142124176,0.0056979954,-1.2903824031352997,0.1202741265296936,54349.03052568436
59000,590,,,6.609787178039551,-0.0034965896047651768,0.00077571766,-1.3421520829200744,0.1537122130393982,55258.76149392128
60000,600,,,3.8773138999938963,-0.015023153577931225,0.0030583548,-1.2152642965316773,0.2829130291938782,56266.97266244888
61000,610,,,4.4686644077301025,-0.007677562069147825,0.002051277,-1.1232511103153229,0.3913227915763855,57276.71110916138
62000,620,,,3.3562100410461424,-0.010270131891593337,0.0073072324,-0.6934364944696426,0.37641143798828125,58304.01507973671
63000,630,,,2.201207560300827,-0.008990521356463433,0.005265913,-0.5742627322673798,0.5722948312759399,59371.638007164
64000,640,,,2.6606352031230927,-0.005640371632762253,0.0022429796,-0.5265752151608467,0.46361732482910156,60490.12731575966
65000,650,,,2.250333607196808,-0.009416292561218143,0.003326015,-0.42079407870769503,0.6033238172531128,61603.23690891266
66000,660,,,1.57876755297184,-0.0009797510225325822,0.0006074258,-0.23460420444607735,0.8262419700622559,62792.55051827431
67000,670,,,3.529942345619202,-0.003100389754399657,0.00051488495,-0.21838490515947342,0.503714919090271,63969.29614019394
68000,680,,,0.18840121775865554,0.0006783759919926525,3.2465905e-06,-0.14099534675478936,0.9821450114250183,65217.5254034996
69000,690,,,0.16819151006639005,-0.005855329241603613,0.010079909,-0.1974187336862087,0.9849770665168762,66530.66986107826
70000,700,,,3.715818464756012,-0.0055642522405833,0.0018355679,-0.13761936835944652,0.48430413007736206,67842.06176495552
71000,710,,,0.08468065559864044,-0.0006946230540052056,0.00038134214,-0.0508057240396738,0.9811896681785583,69189.64341497421
72000,720,,,0.009719914267770946,-0.001019402570091188,0.00085356086,-0.03393873879685998,0.9987070560455322,70490.18045926094
73000,730,,,0.003967948310310021,0.00010129469446837903,1.3364479e-07,-0.0398892056196928,0.9995461702346802,71816.45269060135
74000,740,,,0.007804675539955497,-9.825790766626596e-05,1.6437843e-07,-0.027137730922549962,0.99846351146698,73135.06324768066
75000,750,,,0.007811259350273758,-2.489467151463032e-05,6.891787e-08,-0.018423161283135415,0.9971407055854797,74422.84832167625
76000,760,,,0.0364335922524333,-0.007859050012484659,0.009366071,-0.014635528624057769,0.9884471893310547,75755.87689518929
77000,770,,,0.0023590847762534396,9.206589311361312e-07,0.0,-0.01659754472784698,0.9997308850288391,77212.93271827698
78000,780,,,0.0010068685427540914,-0.00029003231320530177,0.0011904468,-0.019213720969855786,0.9998123049736023,78593.57445502281
79000,790,,,0.006542259408161044,-2.4850806221365927e-05,9.313226e-10,-0.012463097786530852,0.9984968900680542,80012.04838824272
80000,800,,,0.001665405961102806,-1.0206596925854682e-06,1.8626451e-09,-0.009038193174637854,0.99978107213974,81333.45670557022
81000,810,,,,,,,,82714.20125412941
82000,820,,,0.002790726561215706,-2.711033448576927e-06,0.0,-0.0074904474662616845,0.9996238350868225,84041.45673108101
83000,830,,,0.0006762608238204848,-1.4210585504770278e-06,0.0,-0.0063711130293086175,0.9998744130134583,85332.78821897507
84000,840,,,0.000652508911662153,-4.728720523416996e-06,0.0,-0.006373874587006867,0.9998767375946045,86671.48281097412
85000,850,,,0.0006541887638377375,-7.709651254117488e-06,0.0,-0.006065965117886663,0.9998323321342468,88106.56971812248
86000,860,,,0.0009725893221911974,-7.855705916881561e-07,0.0,-0.006261545256711543,0.9998911023139954,89535.83756923676
87000,870,,,0.094319524243474,-0.006395788304507733,0.006267547,-0.01112108682282269,0.9729135036468506,90892.27186608315
88000,880,,,0.0008955665385656175,3.9055012166500094e-07,0.0,-0.00880087863188237,0.9998346567153931,92288.1161134243
89000,890,,,0.0029863257426768542,-0.0005938423098996281,9.073876e-06,-0.008025955315679312,0.9992548227310181,93607.01688456535
90000,900,,,0.09255010075867176,-0.00396010575350374,0.020861533,-0.0481795022264123,0.9781412482261658,94937.38993191719
91000,910,,,3.4559173226356505,-0.007988258497789502,0.0006478317,-0.051360892876982686,0.0957537293434143,96128.16908574104
92000,920,,,0.038403678219765425,-0.00011528674513101577,3.487803e-07,-0.02336171977221966,0.9932828545570374,97411.19972229004
93000,930,,,3.413234007358551,-0.00806823568418622,0.012257555,-0.060334916785359384,0.6199195981025696,98655.24219846725
94000,940,,,0.013776037190109492,-4.996617790311575e-05,1.7397106e-06,-0.01220370694063604,0.9986280202865601,99941.46575450897
95000,950,,,0.0035050228296313437,-1.1528749018907547e-05,1.816079e-08,-0.011941042728722095,0.9994359016418457,101182.0726134777
96000,960,,,0.004070529615273699,-3.0034827068448068e-05,7.4040145e-08,-0.008123211655765772,0.999458909034729,102450.85091137886
97000,970,,,0.00602953617926687,-4.606368020176888e-06,0.0,-0.00827221607323736,0.9996723532676697,103695.92881011963
98000,980,,,0.00237465447280556,4.011206328868866e-07,9.313226e-10,-0.009409024985507131,0.9994924664497375,104918.0390431881
99000,990,,,0.0030871130846207963,-1.076811458915472e-05,1.2852252e-07,-0.005915124085731804,0.9988644123077393,106134.07493519783
100000,1000,,,0.005682602757588029,-0.0002962588798254728,1.2149103e-06,-0.0055287262657657266,0.9960785508155823,107371.35204911232
101000,1010,,,0.00124242321762722,-2.3590400815010072e-07,0.0,-0.005246934806928038,0.999752938747406,108587.06708526611
102000,1020,,,0.0014777113115997053,-4.8210611566901205e-06,0.0,-0.005314201186411083,0.9997323155403137,109826.16752743721
103000,1030,,,0.001184017847845098,-2.3229164071381093e-06,9.313226e-10,-0.0065141161903738976,0.9997373819351196,111050.52094578743
104000,1040,,,0.002386329782893881,-1.6881618648767472e-06,0.0,-0.005322304018773138,0.9995462894439697,112267.89504098892
105000,1050,,,0.001291082118405029,-4.9487571232020855e-06,3.259629e-09,-0.004963318258523941,0.9997040033340454,113479.32265686989
106000,1060,,,0.016330726770684124,-8.686631917953492e-06,3.7252903e-09,-0.004643675242550671,0.9881628155708313,114667.13545179367
107000,1070,,,0.0017039932718034834,-0.0004970365669578313,7.393444e-05,-0.005520072893705219,0.9996044635772705,115879.95589137077
108000,1080,,,0.0013399775139987468,-6.216112524271011e-06,1.8067658e-07,-0.004534147109370679,0.9997422099113464,117111.65197610855
109000,1090,,,0.006013882003026083,-3.661199007183313e-05,7.292256e-07,-0.005653269577305764,0.9979665875434875,118312.32581496239
110000,1100,,,0.0023117656965041533,4.615169018507004e-06,9.778887e-09,-0.002692411100724712,0.9996224641799927,119497.82190775871
111000,1110,,,0.0021057243706309237,-4.55719418823719e-07,9.313226e-10,-0.002475268708076328,0.9997807741165161,120662.71512889862
112000,1120,,,0.0011990783605142497,-7.084710523486137e-06,1.4901161e-08,-0.0025202289631124585,0.9997583627700806,121837.59087538719
113000,1130,,,0.0011906780855497345,-7.478520274162292e-08,0.0,-0.002469318045768887,0.9997832775115967,123026.7089817524
114000,1140,,,0.0020985997398383915,9.613577276468276e-08,0.0,-0.002452375431312248,0.9995572566986084,124255.7792725563
115000,1150,,,0.0018425480433506892,5.306210368871689e-07,0.0,-0.0017670476925559341,0.9996089339256287,125464.4434659481
116000,1160,,,0.0010014390689320862,-1.0763760656118393e-07,0.0,-0.0017454186687245964,0.9997830390930176,126623.89928889275
117000,1170,,,0.001089146576123312,-6.239861249923706e-08,0.0,-0.0017176931083668022,0.9997981786727905,127821.82976675034
118000,1180,,,0.0011040240824513603,-1.7276033759117126e-07,0.0,-0.001742700720205903,0.9997944235801697,128997.46694898605
119000,1190,,,0.0012211465669679455,-2.5010667741298677e-07,0.0,-0.002441280079074204,0.9997662901878357,130166.96327161789
120000,1200,,,0.002112619730178267,-4.6100467443466187e-08,0.0,-0.001894147682469338,0.9996055364608765,131352.7523226738
