episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
6,-141.90000000000003,62,1,100,23,34,62,348.7661271095276
10,-144.90000000000003,-298,0,100,0,42,62,585.6185216903687
20,-146.40000000000003,-298,0,100,0,12,62,1427.7747492790222
29,-134.65000000000006,62,1,100,37,31,62,2069.6810567379
30,-145.90000000000003,-298,0,100,0,22,62,2163.8887803554535
34,-142.4,62,1,100,73,24,62,2552.0923676490784
35,-122.40000000000005,62,1,100,96,28,62,2671.2759923934937
36,-134.70000000000002,62,1,100,20,30,62,2798.668881177902
37,-121.75000000000006,62,1,100,94,41,62,2922.1772379875183
38,-129.45000000000002,62,1,100,88,27,62,3059.1457245349884
39,-118.65,62,1,100,71,27,62,3183.1634755134583
40,-135.10000000000002,62,1,100,91,22,62,3320.182891368866
41,-142.44999999999996,62,1,100,5,23,62,3385.9617159366608
42,-140.60000000000002,62,1,100,9,20,62,3519.7984693050385
43,-133.50000000000003,62,1,100,49,22,62,3659.941110610962
44,-129.40000000000003,62,1,100,81,28,62,3758.508309841156
45,-134.8,62,1,100,23,28,62,3896.191382408142
46,-135.20000000000005,62,1,100,89,20,62,4022.729396343231
47,-125.65000000000005,62,1,100,64,35,62,4175.765492916107
50,-140.35000000000002,62,1,100,5,25,62,4527.965994119644
51,-140.30000000000004,62,1,100,86,26,62,4609.784413576126
53,-111.55000000000003,422,2,100,99,37,422,4811.299897432327
60,-143.79999999999993,62,1,100,96,16,422,5549.510148763657
63,-132.3,422,2,100,24,30,422,5904.857578754425
64,-131.95000000000005,422,2,100,66,21,422,6020.611593008041
70,-136.0,62,1,100,100,32,422,6749.218678712845
80,-137.04999999999998,62,1,100,78,23,422,7979.590681314468
84,-125.75000000000003,422,2,100,68,37,422,8466.346920490265
85,-133.54999999999998,422,2,100,34,21,422,8560.646300554276
90,-136.8,62,1,100,70,28,422,9202.172952413559
96,-129.00000000000003,422,2,100,28,36,422,9852.589643239975
100,-134.89999999999998,62,1,100,25,26,422,10372.474973201752
110,-116.95000000000002,62,1,100,57,29,422,11656.1465883255
120,-102.05000000000001,62,1,100,98,23,422,12890.307981014252
130,-133.5,62,1,100,60,22,422,14171.068915128708
140,-103.80000000000001,62,1,100,99,28,422,15578.899990320206
150,-107.85000000000001,62,1,100,85,27,422,16796.099576711655
160,-100.49999999999997,62,1,100,96,18,422,18030.442183971405
170,-103.75,62,1,100,98,29,422,19213.510013103485
180,-117.05000000000003,62,1,100,96,27,422,20386.43683743477
190,-115.30000000000001,62,1,100,95,26,422,21492.16419363022
200,-120.45000000000002,62,1,100,100,19,422,22490.321468114853
210,-102.64999999999999,62,1,100,91,23,422,23573.64041018486
220,-116.75000000000004,62,1,100,93,33,422,24676.729588747025
230,-109.20000000000007,422,2,100,96,44,422,25731.966183185577
