episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.2,-298,0,100,0,36,0,594.9652984142303
20,-145.10000000000005,-298,0,100,0,38,0,1160.2286159992218
30,-145.54999999999998,-298,0,100,0,29,0,1761.473969221115
36,-141.65000000000003,62,1,100,87,39,62,2151.0931231975555
40,-144.95000000000005,-298,0,100,0,41,62,2379.6991155147552
41,-139.60000000000002,62,1,100,16,40,62,2459.9315462112427
50,-145.25,-298,0,100,0,35,62,3073.217591524124
60,-145.20000000000002,-298,0,100,0,36,62,3692.024570465088
70,-145.15000000000003,-298,0,100,0,37,62,4315.393652915955
78,-137.20000000000005,62,1,100,47,40,62,4785.461908817291
80,-145.60000000000002,-298,0,100,0,28,62,4898.425938129425
90,-145.3,-298,0,100,0,34,62,5471.493497848511
98,-141.65000000000003,62,1,100,18,39,62,5971.22891664505
100,-145.50000000000003,-298,0,100,0,30,62,6102.30735039711
110,-145.6,-298,0,100,0,28,62,6571.52216053009
120,-145.55,-298,0,100,0,29,62,7061.81498003006
130,-145.7,-298,0,100,0,26,62,7539.570349216461
140,-145.25000000000006,-298,0,100,0,35,62,8000.74329662323
150,-145.5,-298,0,100,0,30,62,8396.089635133743
160,-145.55000000000004,-298,0,100,0,29,62,8809.381034135818
170,-145.35000000000002,-298,0,100,0,33,62,9334.668877601624
180,-145.30000000000004,-298,0,100,0,34,62,9993.580716609955
190,-145.20000000000005,-298,0,100,0,36,62,10659.501038312912
191,-141.85000000000005,62,1,100,47,35,62,10712.118889331818
200,-145.25,-298,0,100,0,35,62,11369.3468105793
210,-145.50000000000006,-298,0,100,0,30,62,12092.497889995575
220,-145.60000000000002,-298,0,100,0,28,62,12995.694538354874
229,-143.24999999999997,62,1,100,97,27,62,13712.89053606987
230,-145.10000000000002,-298,0,100,0,38,62,13783.520985603333
232,-140.9,62,1,100,23,34,62,13922.420942306519
240,-145.60000000000002,-298,0,100,0,28,62,14452.128352880478
250,-146.10000000000002,-298,0,100,0,18,62,15387.683948993683
260,-146.55,-298,0,100,0,9,62,16682.81973671913
270,-146.7,-298,0,100,0,6,62,18028.797127485275
280,-146.75,-298,0,100,0,5,62,19297.178875684738
290,-146.59999999999997,-298,0,100,0,8,62,20573.041702747345
300,-146.5,-298,0,100,0,10,62,21902.073886871338
310,-146.7,-298,0,100,0,6,62,23188.3246884346
320,-146.7,-298,0,100,0,6,62,24525.487287044525
330,-146.8,-298,0,100,0,4,62,25866.32727265358
340,-146.75,-298,0,100,0,5,62,27226.04138326645
350,-146.6,-298,0,100,0,8,62,28552.04570913315
360,-146.85,-298,0,100,0,3,62,29918.344302415848
370,-146.65,-298,0,100,0,7,62,31273.2205657959
380,-146.8,-298,0,100,0,4,62,32685.721257209778
390,-146.85,-298,0,100,0,3,62,34102.40440368652
400,-146.8,-298,0,100,0,4,62,35483.32892656326
410,-146.85,-298,0,100,0,3,62,36849.2044904232
420,-146.85,-298,0,100,0,3,62,38264.07148241997
430,-146.85,-298,0,100,0,3,62,39649.436373233795
440,-146.75,-298,0,100,0,5,62,41025.56155014038
450,-146.85,-298,0,100,0,3,62,42445.856217861176
460,-146.85,-298,0,100,0,3,62,43845.243824481964
470,-146.34999999999997,-298,0,100,0,13,62,45142.86138868332
480,-145.85000000000002,-298,0,100,0,23,62,46050.99022054672
490,-145.70000000000005,-298,0,100,0,26,62,46986.750923871994
500,-145.9,-298,0,100,0,22,62,47836.45326399803
510,-145.45000000000002,-298,0,100,0,31,62,48642.30551671982
520,-145.60000000000002,-298,0,100,0,28,62,49383.805215358734
530,-145.75,-298,0,100,0,25,62,50174.05021619797
540,-145.50000000000003,-298,0,100,0,30,62,51007.34133577347
542,-141.70000000000005,62,1,100,73,38,62,51158.26944732666
543,-140.75000000000003,62,1,100,16,37,62,51245.922986507416
548,-140.90000000000003,62,1,100,6,34,62,51671.87361884117
550,-140.40000000000003,62,1,100,7,44,62,51824.96079778671
555,-140.75,62,1,100,93,37,62,52242.09011340141
