episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-139.15000000000006,62,1,100,43,49,62,610.9310953617096
20,-145.05,-298,0,100,0,39,62,1216.0407648086548
23,-141.50000000000006,62,1,100,28,42,62,1372.1060700416565
30,-139.8,62,1,100,10,36,62,1877.9808955192566
40,-145.3,-298,0,100,0,34,62,2538.899288892746
46,-142.05000000000004,62,1,100,91,31,62,2943.1815299987793
50,-144.90000000000003,-298,0,100,0,42,62,3219.9585473537445
60,-145.40000000000003,-298,0,100,0,32,62,3815.328599214554
70,-145.30000000000004,-298,0,100,0,34,62,4471.489018917084
80,-145.0,-298,0,100,0,40,62,5061.394412994385
90,-145.75,-298,0,100,0,25,62,5559.4017634391785
100,-145.35,-298,0,100,0,33,62,6006.668622493744
110,-145.40000000000003,-298,0,100,0,32,62,6496.497174978256
120,-145.60000000000002,-298,0,100,0,28,62,7036.722615242004
130,-145.85000000000002,-298,0,100,0,23,62,7556.748664617538
140,-145.45,-298,0,100,0,31,62,8192.304446220398
148,-139.80000000000007,62,1,100,36,36,62,8608.676184654236
150,-145.75,-298,0,100,0,25,62,8736.791133642197
160,-145.55000000000004,-298,0,100,0,29,62,9364.694137096405
170,-145.45000000000005,-298,0,100,0,31,62,10037.091988801956
180,-145.60000000000002,-298,0,100,0,28,62,10634.025303840637
190,-145.75,-298,0,100,0,25,62,11204.686879396439
200,-145.95000000000002,-298,0,100,0,21,62,11818.996797084808
210,-145.75,-298,0,100,0,25,62,12409.9588265419
220,-145.85,-298,0,100,0,23,62,12948.493587732315
230,-145.70000000000005,-298,0,100,0,26,62,13504.05164694786
240,-146.0,-298,0,100,0,20,62,14093.292138576508
250,-145.70000000000005,-298,0,100,0,26,62,14710.745596885681
260,-145.55000000000004,-298,0,100,0,29,62,15262.006480693817
270,-145.70000000000005,-298,0,100,0,26,62,15829.835733413696
280,-145.40000000000003,-298,0,100,0,32,62,16436.432213544846
290,-146.3,-298,0,100,0,14,62,17200.7463619709
300,-146.45000000000002,-298,0,100,0,11,62,17942.469312429428
310,-146.20000000000002,-298,0,100,0,16,62,18759.259373426437
320,-146.55,-298,0,100,0,9,62,19762.332908391953
330,-146.7,-298,0,100,0,6,62,20785.091142892838
340,-146.7,-298,0,100,0,6,62,21710.20198392868
350,-146.8,-298,0,100,0,4,62,22625.623631954193
360,-146.75,-298,0,100,0,5,62,23648.59825849533
370,-146.9,-298,0,100,0,2,62,24665.37561249733
380,-146.8,-298,0,100,0,4,62,25674.72585630417
390,-146.75,-298,0,100,0,5,62,26691.178159952164
400,-146.9,-298,0,100,0,2,62,27701.09016942978
410,-146.8,-298,0,100,0,4,62,28686.089070558548
420,-146.75,-298,0,100,0,5,62,29643.221012592316
430,-146.79999999999998,-298,0,100,0,4,62,30668.76560330391
440,-146.8,-298,0,100,0,4,62,31669.75755906105
450,-146.75,-298,0,100,0,5,62,32699.03900885582
460,-146.60000000000002,-298,0,100,0,8,62,33727.46715092659
470,-146.35,-298,0,100,0,13,62,34681.89969396591
480,-146.35000000000002,-298,0,100,0,13,62,35605.41883826256
490,-145.85000000000002,-298,0,100,0,23,62,36500.70386171341
500,-145.75000000000006,-298,0,100,0,25,62,37395.15290284157
510,-145.5,-298,0,100,0,30,62,38172.5618391037
520,-146.09999999999997,-298,0,100,0,18,62,38854.37396359444
530,-145.65000000000003,-298,0,100,0,27,62,39592.17132472992
540,-145.80000000000007,-298,0,100,0,24,62,40321.890568971634
550,-145.84999999999997,-298,0,100,0,23,62,41170.312014341354
560,-145.60000000000002,-298,0,100,0,28,62,41961.30743908882
570,-145.75000000000006,-298,0,100,0,25,62,42771.862922906876
580,-145.40000000000003,-298,0,100,0,32,62,43566.06308197975
590,-145.65000000000003,-298,0,100,0,27,62,44298.04451704025
600,-145.5,-298,0,100,0,30,62,44999.99207210541
610,-145.35000000000002,-298,0,100,0,33,62,45735.923117399216
620,-145.50000000000006,-298,0,100,0,30,62,46529.42019486427
630,-145.25,-298,0,100,0,35,62,47218.30691790581
640,-145.50000000000006,-298,0,100,0,30,62,47964.94307017326
650,-145.5,-298,0,100,0,30,62,48725.30292773247
660,-145.60000000000002,-298,0,100,0,28,62,49583.58341002464
670,-145.05000000000007,-298,0,100,0,39,62,50396.26979422569
680,-145.20000000000002,-298,0,100,0,36,62,51190.53893637657
690,-145.20000000000005,-298,0,100,0,36,62,51892.45209789276
700,-145.55,-298,0,100,0,29,62,52601.26429629326
710,-145.24999999999997,-298,0,100,0,35,62,53306.52214717865
720,-145.00000000000003,-298,0,100,0,40,62,54125.460572719574
730,-145.20000000000002,-298,0,100,0,36,62,54918.43711185455
740,-145.35,-298,0,100,0,33,62,55724.04071044922
750,-145.45,-298,0,100,0,31,62,56431.913499355316
760,-145.34999999999997,-298,0,100,0,33,62,57183.54038929939
770,-145.55000000000004,-298,0,100,0,29,62,57941.13552689552
780,-145.40000000000003,-298,0,100,0,32,62,58682.23982954025
790,-145.20000000000005,-298,0,100,0,36,62,59384.49081110954
800,-145.40000000000003,-298,0,100,0,32,62,60073.746272563934
810,-145.90000000000003,-298,0,100,0,22,62,60734.412442445755
820,-145.25000000000006,-298,0,100,0,35,62,61394.25121951103
830,-145.30000000000004,-298,0,100,0,34,62,62171.29157447815
840,-145.2,-298,0,100,0,36,62,62901.32854986191
850,-145.30000000000007,-298,0,100,0,34,62,63584.01636123657
860,-145.10000000000002,-298,0,100,0,38,62,64248.08359217644
870,-146.10000000000002,-298,0,100,0,18,62,65021.35431647301
880,-145.10000000000002,-298,0,100,0,38,62,65731.4749519825
890,-145.40000000000003,-298,0,100,0,32,62,66468.90434098244
900,-145.50000000000003,-298,0,100,0,30,62,67134.6530714035
910,-145.75000000000003,-298,0,100,0,25,62,67947.41668486595
920,-145.45000000000005,-298,0,100,0,31,62,68666.09362053871
930,-145.5,-298,0,100,0,30,62,69350.40077066422
940,-145.45000000000005,-298,0,100,0,31,62,70022.69085264206
950,-145.25000000000003,-298,0,100,0,35,62,70595.36198163033
960,-145.45000000000005,-298,0,100,0,31,62,71187.53159594536
970,-145.65000000000003,-298,0,100,0,27,62,71867.10517024994
980,-145.45000000000005,-298,0,100,0,31,62,72513.93630933762
990,-145.65,-298,0,100,0,27,62,73138.81579351425
1000,-145.35000000000002,-298,0,100,0,33,62,73783.9035115242
1010,-145.55000000000004,-298,0,100,0,29,62,74356.5439286232
1020,-145.65000000000003,-298,0,100,0,27,62,74838.06347060204
1030,-145.55000000000004,-298,0,100,0,29,62,75501.32638907433
1040,-145.35000000000002,-298,0,100,0,33,62,76169.78626871109
1050,-145.40000000000003,-298,0,100,0,32,62,76959.6601228714
1060,-145.7,-298,0,100,0,26,62,77733.60827159882
1070,-145.50000000000003,-298,0,100,0,30,62,78394.40496087074
1080,-145.45000000000005,-298,0,100,0,31,62,79123.52414250374
1090,-145.3,-298,0,100,0,34,62,79820.65403652191
1100,-145.45,-298,0,100,0,31,62,80389.61125802994
1110,-145.25000000000006,-298,0,100,0,35,62,81084.92904090881
1120,-145.40000000000003,-298,0,100,0,32,62,81806.10307884216
1130,-145.25000000000006,-298,0,100,0,35,62,82608.59132933617
1140,-145.85000000000002,-298,0,100,0,23,62,83371.85354495049
1150,-145.45000000000005,-298,0,100,0,31,62,84095.09080195427
1160,-145.20000000000002,-298,0,100,0,36,62,84851.45944070816
1170,-145.3,-298,0,100,0,34,62,85510.99238085747
1180,-145.5,-298,0,100,0,30,62,86227.31512594223
1190,-145.29999999999995,-298,0,100,0,34,62,86956.59242606163
1200,-145.35000000000008,-298,0,100,0,33,62,87726.71814084053
1210,-145.60000000000002,-298,0,100,0,28,62,88560.36442875862
1220,-145.60000000000002,-298,0,100,0,28,62,89375.3815715313
1230,-145.85000000000002,-298,0,100,0,23,62,90180.82336068153
1235,-141.00000000000006,62,1,100,27,32,62,90607.66025066376
1240,-145.50000000000003,-298,0,100,0,30,62,91093.23866796494
1244,-141.15000000000003,62,1,100,68,29,62,91457.34735631943
1250,-145.55,-298,0,100,0,29,62,91952.61881875992
1260,-145.40000000000003,-298,0,100,0,32,62,92745.41742300987
1270,-145.35000000000002,-298,0,100,0,33,62,93429.21033239365
1280,-145.40000000000003,-298,0,100,0,32,62,94064.4535176754
