episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-50.0,-298,0,100,0,0,0,445.71924018859863
13,-14.0,62,1,100,66,0,62,596.8530251979828
14,-14.0,62,1,100,53,0,62,642.4148931503296
17,-14.0,62,1,100,9,0,62,805.5305407047272
20,-50.0,-298,0,100,0,0,62,983.2530212402344
30,-50.0,-298,0,100,0,0,62,1342.532719373703
40,-14.0,62,1,100,37,0,62,1678.707593202591
50,-50.0,-298,0,100,0,0,62,2005.2043385505676
55,-14.0,62,1,100,50,0,62,2177.644318819046
58,-14.0,62,1,100,58,0,62,2289.9612770080566
60,-50.0,-298,0,100,0,0,62,2360.9323794841766
63,-14.0,62,1,100,46,0,62,2457.459599018097
65,-14.0,62,1,100,42,0,62,2529.749393224716
66,-14.0,62,1,100,9,0,62,2570.5294601917267
69,-14.0,62,1,100,31,0,62,2683.5823724269867
70,-14.0,62,1,100,28,0,62,2733.2075564861298
71,-14.0,62,1,100,48,0,62,2771.03662276268
72,-14.0,62,1,100,32,0,62,2817.796410560608
73,-14.0,62,1,100,27,0,62,2860.651030778885
74,-14.0,62,1,100,95,0,62,2901.7302062511444
75,-14.0,62,1,100,15,0,62,2943.2001214027405
76,-14.0,62,1,100,44,0,62,2989.814957141876
78,-14.0,62,1,100,26,0,62,3072.068268060684
80,-14.0,62,1,100,12,0,62,3154.6773290634155
81,-14.0,62,1,100,97,0,62,3191.451690673828
82,-14.0,62,1,100,73,0,62,3238.4939482212067
83,-14.0,62,1,100,59,0,62,3289.585873603821
84,-14.0,62,1,100,22,0,62,3328.602882862091
85,-14.0,62,1,100,53,0,62,3384.3953099250793
86,-14.0,62,1,100,14,0,62,3438.188225030899
87,-14.0,62,1,100,32,0,62,3490.577964782715
88,-14.0,62,1,100,5,0,62,3541.3461945056915
89,-14.0,62,1,100,28,0,62,3600.074750185013
90,-14.0,62,1,100,37,0,62,3661.311074256897
91,-14.0,62,1,100,13,0,62,3723.7311449050903
92,-14.0,62,1,100,90,0,62,3777.788325548172
93,-14.0,62,1,100,94,0,62,3833.5727183818817
