episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
7,-14.0,62,1,100,21,0,62,323.5361227989197
10,-50.0,-298,0,100,0,0,62,464.35472083091736
20,-50.0,-298,0,100,0,0,62,742.3388841152191
30,-50.0,-298,0,100,0,0,62,1070.7508673667908
40,-50.0,-298,0,100,0,0,62,1371.1627280712128
41,-14.0,62,1,100,15,0,62,1422.3466567993164
44,-14.0,62,1,100,7,0,62,1515.859092950821
48,-14.0,62,1,100,31,0,62,1611.8295414447784
49,-14.0,62,1,100,17,0,62,1667.4964113235474
50,-14.0,62,1,100,45,0,62,1696.23037648201
51,-14.0,62,1,100,7,0,62,1725.8382194042206
52,-14.0,62,1,100,38,0,62,1764.3991310596466
53,-14.0,62,1,100,30,0,62,1811.212506055832
54,-14.0,62,1,100,83,0,62,1844.5536365509033
56,-14.0,62,1,100,86,0,62,1910.1698293685913
57,-14.0,62,1,100,11,0,62,1953.921623468399
58,-14.0,62,1,100,98,0,62,1984.6861145496368
59,-14.0,62,1,100,25,0,62,2036.9154279232025
60,-14.0,62,1,100,20,0,62,2061.8595054149628
62,-14.0,62,1,100,24,0,62,2146.4231729507446
63,-14.0,62,1,100,71,0,62,2175.2031803131104
65,-14.0,62,1,100,41,0,62,2256.329044342041
66,-14.0,62,1,100,9,0,62,2295.3469557762146
67,-14.0,62,1,100,18,0,62,2352.0909910202026
68,-14.0,62,1,100,19,0,62,2407.596299648285
69,-14.0,62,1,100,20,0,62,2455.688498735428
70,22.0,422,2,100,23,0,422,2487.5897393226624
80,-14.0,62,1,100,28,0,422,2972.0514616966248
90,-14.0,62,1,100,19,0,422,3520.973507642746
100,-14.0,62,1,100,17,0,422,4037.6476731300354
110,-14.0,62,1,100,8,0,422,4598.137668371201
120,-14.0,62,1,100,10,0,422,5109.824889183044
130,-14.0,62,1,100,28,0,422,5710.8828547000885
133,22.0,422,2,100,59,0,422,5864.629862785339
140,-14.0,62,1,100,10,0,422,6326.105477809906
150,-14.0,62,1,100,7,0,422,6951.509640455246
160,-14.0,62,1,100,11,0,422,7569.919280052185
170,-14.0,62,1,100,8,0,422,8144.050041913986
180,-14.0,62,1,100,9,0,422,8661.700145959854
190,-14.0,62,1,100,23,0,422,9172.350291728973
200,-14.0,62,1,100,8,0,422,9614.27118730545
210,-14.0,62,1,100,9,0,422,10225.876533269882
220,-14.0,62,1,100,7,0,422,10836.305141448975
230,-14.0,62,1,100,9,0,422,11524.209342718124
240,-14.0,62,1,100,7,0,422,12226.085538864136
250,-14.0,62,1,100,11,0,422,12898.609529972076
260,-14.0,62,1,100,11,0,422,13587.005581378937
270,-14.0,62,1,100,7,0,422,14289.248578310013
280,-14.0,62,1,100,46,0,422,14938.594166755676
290,-14.0,62,1,100,7,0,422,15635.182816028595
300,-14.0,62,1,100,8,0,422,16303.810022592545
310,-14.0,62,1,100,23,0,422,16975.880441188812
319,22.0,422,2,100,32,0,422,17636.153648376465
320,-14.0,62,1,100,9,0,422,17722.214527606964
322,22.0,422,2,100,85,0,422,17865.816893577576
324,22.0,422,2,100,90,0,422,18032.569902658463
330,-14.0,62,1,100,9,0,422,18497.50256228447
335,22.0,422,2,100,62,0,422,18859.7585003376
340,-14.0,62,1,100,7,0,422,19265.312681913376
346,22.0,422,2,100,57,0,422,19748.061234235764
349,22.0,422,2,100,17,0,422,19983.333773374557
350,-14.0,62,1,100,9,0,422,20060.576169729233
360,-14.0,62,1,100,9,0,422,20757.17124247551
370,-14.0,62,1,100,85,0,422,21292.68717265129
372,22.0,422,2,100,71,0,422,21438.527200222015
380,-14.0,62,1,100,6,0,422,21982.86140871048
390,-14.0,62,1,100,9,0,422,22681.29488658905
400,-14.0,62,1,100,21,0,422,23390.529023885727
410,-14.0,62,1,100,9,0,422,24116.76515841484
420,-14.0,62,1,100,15,0,422,24892.081834554672
430,-14.0,62,1,100,8,0,422,25632.30636024475
436,22.0,422,2,100,42,0,422,26116.257175207138
440,-14.0,62,1,100,6,0,422,26421.572596549988
450,-14.0,62,1,100,7,0,422,27150.42508149147
460,-14.0,62,1,100,20,0,422,27826.00555253029
470,-14.0,62,1,100,7,0,422,28616.203478574753
480,-14.0,62,1,100,40,0,422,29395.009588479996
484,22.0,422,2,100,30,0,422,29713.18936395645
490,-14.0,62,1,100,7,0,422,30161.697803735733
500,-14.0,62,1,100,7,0,422,30840.270492076874
510,-14.0,62,1,100,20,0,422,31606.689488887787
520,-14.0,62,1,100,32,0,422,32366.314910650253
523,22.0,422,2,100,68,0,422,32561.484825849533
530,-14.0,62,1,100,7,0,422,33083.77858757973
540,-14.0,62,1,100,28,0,422,33725.900398015976
550,-14.0,62,1,100,17,0,422,34360.54191684723
560,-14.0,62,1,100,33,0,422,35138.84668588638
570,-14.0,62,1,100,8,0,422,36121.791558265686
580,-14.0,62,1,100,7,0,422,37168.58171367645
590,-14.0,62,1,100,59,0,422,38133.0130136013
600,-14.0,62,1,100,58,0,422,39227.621566057205
607,22.0,422,2,100,69,0,422,39995.76825737953
610,-14.0,62,1,100,75,0,422,40306.16632652283
620,-14.0,62,1,100,47,0,422,41301.31242799759
629,22.0,422,2,100,41,0,422,42135.04166793823
630,-14.0,62,1,100,12,0,422,42245.38982510567
640,-14.0,62,1,100,41,0,422,43102.427530527115
650,-14.0,62,1,100,26,0,422,44196.89980554581
660,-14.0,62,1,100,8,0,422,45249.06574344635
670,-14.0,62,1,100,45,0,422,46231.59964466095
680,-14.0,62,1,100,17,0,422,47243.190078020096
690,-14.0,62,1,100,11,0,422,48318.63992333412
700,-14.0,62,1,100,14,0,422,49387.8284201622
710,-14.0,62,1,100,24,0,422,50359.322404146194
720,-14.0,62,1,100,20,0,422,51251.97977614403
730,-14.0,62,1,100,8,0,422,52390.59573221207
740,-14.0,62,1,100,26,0,422,53332.96766591072
750,-14.0,62,1,100,20,0,422,54298.21616268158
760,-14.0,62,1,100,60,0,422,55258.01025676727
770,-14.0,62,1,100,13,0,422,56284.02538013458
780,-14.0,62,1,100,10,0,422,57230.44479727745
790,-14.0,62,1,100,56,0,422,58191.801832675934
796,22.0,422,2,100,46,0,422,58837.6352519989
800,-14.0,62,1,100,28,0,422,59275.3313729763
810,-14.0,62,1,100,51,0,422,60288.22316288948
820,-14.0,62,1,100,29,0,422,61271.12368083
830,-14.0,62,1,100,32,0,422,62230.92483282089
840,-14.0,62,1,100,8,0,422,63254.73011279106
850,-14.0,62,1,100,73,0,422,64188.80894422531
860,-14.0,62,1,100,27,0,422,65112.5054666996
870,-14.0,62,1,100,17,0,422,65991.83893418312
880,-14.0,62,1,100,47,0,422,66841.77663064003
890,-14.0,62,1,100,19,0,422,67785.80276370049
893,22.0,422,2,100,98,0,422,68016.85225439072
900,-14.0,62,1,100,8,0,422,68670.87571263313
910,-14.0,62,1,100,8,0,422,69656.63459014893
920,-14.0,62,1,100,9,0,422,70699.70467114449
930,-14.0,62,1,100,28,0,422,71655.06624484062
940,-14.0,62,1,100,11,0,422,72698.01467967033
950,-14.0,62,1,100,28,0,422,73692.8922290802
960,-14.0,62,1,100,8,0,422,74631.36948990822
970,-14.0,62,1,100,5,0,422,75647.39355278015
980,-14.0,62,1,100,12,0,422,76520.57893538475
990,-14.0,62,1,100,8,0,422,77504.97092151642
1000,-14.0,62,1,100,60,0,422,78436.74016666412
1007,22.0,422,2,100,19,0,422,79177.6192688942
1010,-14.0,62,1,100,19,0,422,79509.90179562569
1020,-14.0,62,1,100,6,0,422,80342.67707538605
1030,-50.0,-298,0,100,0,0,422,81232.75961303711
1040,-50.0,-298,0,100,0,0,422,82081.19782614708
1050,-14.0,62,1,100,8,0,422,83034.16069245338
1060,-14.0,62,1,100,17,0,422,83990.2048728466
1070,-14.0,62,1,100,47,0,422,84852.18622088432
1080,-14.0,62,1,100,40,0,422,85878.01630687714
1086,22.0,422,2,100,96,0,422,86511.48399186134
1090,-14.0,62,1,100,21,0,422,86926.70710015297
1100,-14.0,62,1,100,8,0,422,87864.43516540527
1103,22.0,422,2,100,62,0,422,88181.66942763329
1110,-14.0,62,1,100,65,0,422,88881.51718235016
1120,-14.0,62,1,100,12,0,422,89843.77446985245
1130,-14.0,62,1,100,79,0,422,90761.1829662323
1140,-14.0,62,1,100,85,0,422,91751.26646018028
1150,-14.0,62,1,100,90,0,422,92598.24913454056
1160,-14.0,62,1,100,72,0,422,93472.78369522095
1170,22.0,422,2,100,82,0,422,94459.10178041458
1180,-14.0,62,1,100,49,0,422,95409.13199996948
1184,22.0,422,2,100,65,0,422,95835.58917093277
1190,-14.0,62,1,100,11,0,422,96488.14180374146
1200,-14.0,62,1,100,8,0,422,97501.48932313919
1210,-14.0,62,1,100,25,0,422,98418.9088716507
1220,-14.0,62,1,100,13,0,422,99380.48654413223
1230,-14.0,62,1,100,12,0,422,100313.86194968224
1240,-14.0,62,1,100,7,0,422,101284.54375481606
1250,-14.0,62,1,100,16,0,422,102200.52910685539
1260,-14.0,62,1,100,7,0,422,103076.53701543808
1261,22.0,422,2,100,56,0,422,103165.51910948753
1270,-14.0,62,1,100,36,0,422,104044.5587656498
1280,-14.0,62,1,100,68,0,422,105040.51435685158
1286,22.0,422,2,100,55,0,422,105563.83686828613
1290,-14.0,62,1,100,36,0,422,105980.11188054085
1298,22.0,422,2,100,54,0,422,106825.42937541008
1300,-14.0,62,1,100,9,0,422,107029.72835206985
1310,-14.0,62,1,100,33,0,422,107801.28770923615
1320,-14.0,62,1,100,56,0,422,108626.50990724564
1330,-14.0,62,1,100,6,0,422,109445.87472224236
1340,-14.0,62,1,100,11,0,422,110469.21385169029
1350,-50.0,-298,0,100,0,0,422,111389.83227014542
1360,-14.0,62,1,100,8,0,422,112489.95208263397
1370,-14.0,62,1,100,9,0,422,113524.51820111275
1372,22.0,422,2,100,71,0,422,113761.66257429123
