episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-14.0,62,1,100,18,0,62,441.8032364845276
20,-50.0,-298,0,100,0,0,62,993.0778379440308
21,-14.0,62,1,100,68,0,62,1037.871721982956
22,-14.0,62,1,100,14,0,62,1084.4946842193604
25,-14.0,62,1,100,80,0,62,1186.9106452465057
28,-14.0,62,1,100,11,0,62,1293.8206906318665
30,-50.0,-298,0,100,0,0,62,1373.4525363445282
32,-14.0,62,1,100,18,0,62,1453.370989561081
33,-14.0,62,1,100,45,0,62,1503.8042001724243
34,-14.0,62,1,100,35,0,62,1542.324300289154
35,-14.0,62,1,100,9,0,62,1570.9401128292084
36,-14.0,62,1,100,25,0,62,1609.1314601898193
37,-14.0,62,1,100,55,0,62,1654.0165779590607
38,-14.0,62,1,100,86,0,62,1700.683135509491
39,-14.0,62,1,100,26,0,62,1744.104516506195
40,22.0,422,2,100,66,0,422,1790.0851407051086
50,-14.0,62,1,100,10,0,422,2308.416608572006
60,-14.0,62,1,100,12,0,422,2889.163223028183
70,-14.0,62,1,100,7,0,422,3478.1794288158417
71,22.0,422,2,100,19,0,422,3532.418540239334
76,22.0,422,2,100,34,0,422,3856.1318697929382
80,-14.0,62,1,100,17,0,422,4096.79792714119
90,-14.0,62,1,100,9,0,422,4730.118188381195
100,-14.0,62,1,100,5,0,422,5345.387530088425
110,-14.0,62,1,100,7,0,422,5964.830626249313
113,22.0,422,2,100,81,0,422,6154.8214383125305
115,22.0,422,2,100,39,0,422,6280.149135351181
117,22.0,422,2,100,98,0,422,6403.628205537796
120,-14.0,62,1,100,5,0,422,6593.293480157852
124,22.0,422,2,100,20,0,422,6840.683877468109
128,22.0,422,2,100,89,0,422,7089.409022569656
130,22.0,422,2,100,87,0,422,7213.76372051239
133,22.0,422,2,100,45,0,422,7399.096647024155
140,-14.0,62,1,100,5,0,422,7832.309623479843
147,22.0,422,2,100,96,0,422,8274.008669376373
150,22.0,422,2,100,71,0,422,8467.245055913925
152,22.0,422,2,100,45,0,422,8594.102615118027
156,22.0,422,2,100,76,0,422,8852.809240818024
158,22.0,422,2,100,23,0,422,8978.796046972275
159,22.0,422,2,100,45,0,422,9040.811391115189
160,-14.0,62,1,100,5,0,422,9107.498433589935
161,22.0,422,2,100,29,0,422,9174.600205659866
162,22.0,422,2,100,80,0,422,9236.403380393982
164,22.0,422,2,100,96,0,422,9369.274508476257
165,22.0,422,2,100,73,0,422,9430.797492027283
166,22.0,422,2,100,35,0,422,9491.77272605896
