timesteps,episode,ep_rew_mean,ep_len_mean,loss,exploration_rate,time_seconds
1000,10,,,,0.5254750000000001,468.19389247894287
2000,20,,,,0.05047500000000027,1060.5260555744171
3000,30,,,,0.05,1661.8403458595276
4000,40,,,,0.05,2215.7263243198395
5000,50,,,,0.05,2831.6995022296906
6000,60,,,,0.05,3475.6439394950867
7000,70,,,,0.05,4044.134966135025
8000,80,,,,0.05,4670.36834859848
9000,90,,,,0.05,5251.241824626923
10000,100,,,,0.05,5829.315188169479
11000,110,,,0.07018003612756729,0.05,6148.524985790253
12000,120,,,0.047279950231313705,0.05,6808.202339887619
13000,130,,,0.07451930642127991,0.05,7565.20901799202
14000,140,,,0.06139449030160904,0.05,8393.046016931534
15000,150,,,0.0827525183558464,0.05,9458.417430400848
16000,160,,,0.11359629780054092,0.05,10165.961500883102
17000,170,,,0.14979983866214752,0.05,10858.296745300293
18000,180,,,0.09145425260066986,0.05,11471.925916194916
19000,190,,,0.22698260843753815,0.05,12232.046315193176
20000,200,,,0.19457928836345673,0.05,13002.947447299957
21000,210,,,0.17734268307685852,0.05,13958.155554294586
22000,220,,,0.48363232612609863,0.05,14834.44003033638
23000,230,,,0.20178855955600739,0.05,15789.25911283493
24000,240,,,0.3194695711135864,0.05,16756.08833003044
25000,250,,,0.4344901442527771,0.05,17779.721189260483
26000,260,,,0.5280917286872864,0.05,18746.170773267746
27000,270,,,0.42691606283187866,0.05,19707.73378634453
28000,280,,,0.444582998752594,0.05,20593.09501194954
29000,290,,,0.33984777331352234,0.05,21634.45351457596
30000,300,,,0.4484703242778778,0.05,22608.088345766068
31000,310,,,0.23303300142288208,0.05,23634.018648147583
32000,320,,,0.3486720025539398,0.05,24362.88447380066
33000,330,,,0.3674454391002655,0.05,25210.57321691513
34000,340,,,0.421497642993927,0.05,26325.291755199432
35000,350,,,0.45939338207244873,0.05,27443.030000925064
36000,360,,,0.29687678813934326,0.05,28661.913865327835
37000,370,,,0.2942262291908264,0.05,29784.74610042572
38000,380,,,0.43556442856788635,0.05,30865.337312221527
39000,390,,,0.34376299381256104,0.05,31735.48572254181
