timesteps,episode,ep_rew_mean,ep_len_mean,loss,exploration_rate,time_seconds
1000,10,,,,0.05095000000000016,454.24437284469604
2000,20,,,0.018661679700016975,0.05,1279.5381996631622
3000,30,,,0.03206629306077957,0.05,2005.0038092136383
4000,40,,,0.01387148629873991,0.05,2873.1856513023376
5000,50,,,0.0989314466714859,0.05,3411.6934950351715
6000,60,,,0.02031021937727928,0.05,4067.20428109169
7000,70,,,0.06914035975933075,0.05,5093.932123184204
8000,80,,,0.22529707849025726,0.05,6207.5786855220795
9000,90,,,0.2876478135585785,0.05,7310.937325954437
10000,100,,,0.34496009349823,0.05,8389.652889728546
11000,110,,,0.2616901695728302,0.05,9382.003981351852
12000,120,,,0.41846907138824463,0.05,10320.006096601486
13000,130,,,0.3905685544013977,0.05,11270.163435459137
14000,140,,,0.591598629951477,0.05,12206.889162778854
15000,150,,,0.36901620030403137,0.05,13073.34535741806
16000,160,,,0.2442806512117386,0.05,13955.87848329544
17000,170,,,0.30950847268104553,0.05,14995.326488018036
18000,180,,,0.20464840531349182,0.05,15977.563525438309
19000,190,,,0.10098616778850555,0.05,16963.152131319046
20000,200,,,0.15266723930835724,0.05,17869.133374929428
21000,210,,,0.21982088685035706,0.05,18765.705835342407
22000,220,,,0.21120385825634003,0.05,19671.12000656128
23000,230,,,0.21771711111068726,0.05,20565.371330976486
24000,240,,,0.21127991378307343,0.05,21458.04365992546
25000,250,,,0.3038405179977417,0.05,22245.183830976486
26000,260,,,0.2639194130897522,0.05,22984.487498760223
27000,270,,,0.15037378668785095,0.05,23700.2948884964
28000,280,,,0.15881791710853577,0.05,24423.69562125206
29000,290,,,0.19314810633659363,0.05,25164.882297039032
30000,300,,,0.2564290761947632,0.05,25815.70888018608
31000,310,,,0.20479261875152588,0.05,26506.915048599243
32000,320,,,0.14358344674110413,0.05,27063.688300848007
33000,330,,,0.2341790348291397,0.05,27699.18240070343
34000,340,,,0.11746646463871002,0.05,28419.85039639473
35000,350,,,0.14514391124248505,0.05,29142.62563586235
36000,360,,,0.13892705738544464,0.05,29822.765146017075
37000,370,,,0.21109749376773834,0.05,30436.354211568832
38000,380,,,0.12883563339710236,0.05,31135.949150800705
39000,390,,,0.1883726567029953,0.05,31813.797039747238
40000,400,,,0.1172494888305664,0.05,32355.361197710037
41000,410,,,0.11239276826381683,0.05,32955.72538471222
42000,420,,,0.13813987374305725,0.05,33584.85543513298
43000,430,,,0.15776410698890686,0.05,34420.924162864685
44000,440,,,0.2503623366355896,0.05,35014.377928733826
45000,450,,,0.1291612833738327,0.05,35569.61194086075
46000,460,,,0.06854093819856644,0.05,36293.75891709328
47000,470,,,0.07019710540771484,0.05,37002.70090866089
48000,480,,,0.1537034958600998,0.05,37616.65784597397
49000,490,,,0.10097700357437134,0.05,38300.51184749603
50000,500,,,0.14949631690979004,0.05,39188.5303812027
51000,510,,,0.0933413952589035,0.05,39877.601865291595
52000,520,,,0.1443319022655487,0.05,40667.50870513916
53000,530,,,0.10177266597747803,0.05,41497.63278436661
